Cars,Price,Mileage
2017 Volkswagen Jetta Sedan 4dr 1.4 TSI Man Trendline,"$17,000","Mileage 46,000 km"
2018 Hyundai Elantra GLS Auto,"$17,000","Mileage 52,000 km"
2014 Lincoln MKZ 4dr Sdn Hybrid FWD,"$17,000","Mileage 125,000 km"
2014 Lincoln MKZ 4dr Sdn Hybrid FWD,"$17,000","Mileage 125,000 km"
2013 Lexus ES 350 4dr Sdn,"$17,000","Mileage 115,000 km"
2019 Nissan Sentra SV CVT,"$17,000","Mileage 3,800 km"
2017 Honda Civic Sedan 4dr CVT LX w/Honda Sensing,"$17,000","Mileage 28,200 km"
2017 Honda Civic Sedan 4dr CVT EX,"$17,000","Mileage 52,963 km"
2013 Audi S4 4dr Sdn Auto Premium,"$16,999","Mileage 185,000 km"
2015 Cadillac ATS 4dr Sdn 2.0L Luxury AWD,"$16,999","Mileage 85,000 km"
2015 Volkswagen Jetta 4dr 2.0 TDI DSG Highline,"$16,999","Mileage 74,000 km"
2014 Audi A4 4dr Sdn Auto Progressiv quattro,"$16,999","Mileage 131,000 km"
2015 Audi A3 4dr Sdn quattro 2.0T Technik,"$20,555","Mileage 90,000 km"
2015 Hyundai Genesis Sedan 4dr Sdn Technology,"$19,999","Mileage 98,852 km"
2013 Audi A6 4dr Sdn quattro 3.0T Premium,"$19,500","Mileage 58,000 km"
2017 Volkswagen Jetta Sedan 4dr 1.4 TSI Auto Trendline+,"$17,900","Mileage 51,013 km"
2016 Kia Forte 4dr Sdn Auto EX w/Sunroof,"$11,900","Mileage 60,000 km"
2016 Chrysler 200 4dr Sdn LX FWD,"$11,500","Mileage 67,000 km"
2013 Kia Optima Hybrid 4dr Sdn Hybrid,"$11,264","Mileage 93,300 km"
2013 Nissan Sentra 4dr Sdn CVT SV,"$9,144","Mileage 91,400 km"
2015 Honda Civic Sedan 4dr Auto EX,"$16,995","Mileage 25,000 km"
2017 Chevrolet Impala 4dr Sdn LT w/1LT,"$16,975","Mileage 47,500 km"
2014 Infiniti Q50 4dr Sdn Sport AWD,"$16,900","Mileage 101,000 km"
2017 Toyota Corolla 4dr Sdn CVT LE,"$16,900","Mileage 4,400 km"
2010 Audi A6 4dr Sdn quattro 3.0L Special Edition w/Nav,"$16,800","Mileage 145,963 km"
2015 Acura TLX 4dr Sdn FWD Tech,"$16,800","Mileage 90,000 km"
2013 BMW 3 Series 4dr Sdn 328i xDrive AWD,"$16,799","Mileage 94,000 km"
2017 Toyota Camry 4dr Sdn I4 Auto LE,"$16,750","Mileage 76,500 km"
2013 Mercedes-Benz C-Class 4dr Sdn C350 4MATIC,"$16,750","Mileage 118,000 km"
2015 Volkswagen Jetta 4dr 2.0 TDI DSG Highline,"$16,500","Mileage 78,800 km"
2014 Audi A4 4dr Sdn Auto Komfort quattro,"$16,500","Mileage 100,450 km"
2013 Mercedes-Benz C-Class 4dr Sdn C 300 4MATIC,"$16,500","Mileage 88,500 km"
2011 Audi S4 4dr Sdn S tronic Premium,"$16,500","Mileage 160,000 km"
2016 Chrysler 300 4dr Sdn 300C AWD,"$16,500","Mileage 67,431 km"
2015 Nissan Altima 4dr Sdn I4 CVT 2.5 S,"$16,500","Mileage 23,777 km"
2018 Hyundai Elantra GL SE Auto,"$16,500","Mileage 52,000 km"
2016 Honda Civic Sedan 4dr CVT EX,"$16,500","Mileage 62,500 km"
2017 Honda Civic Sedan 4dr CVT LX,"$16,500","Mileage 32,139 km"
2019 Nissan Sentra SV CVT,"$16,500","Mileage 16,700 km"
2016 Chevrolet Malibu 4dr Sdn Premier w-2LZ,"$16,500","Mileage 80,500 km"
2016 Honda Civic Sedan 4dr CVT EX,"$16,500","Mileage 87,000 km"
2016 Honda Civic Sedan 4dr CVT EX w/Honda Sensing,"$16,500","Mileage 59,000 km"
2016 Honda Civic Sedan 4dr CVT EX w/Honda Sensing,"$16,500","Mileage 72,000 km"
2016 Volkswagen Passat 4dr Sdn 1.8 TSI Auto Comfortline,"$16,500","Mileage 29,000 km"
2017 Mazda Mazda3 4dr Sdn Man GS,"$16,500","Mileage 56,500 km"
2007 Volvo S80 4dr Sdn V8,"$16,250","Mileage 82,500 km"
2017 Mazda Mazda3 4dr Sdn Auto GS,"$16,200","Mileage 70,262 km"
2011 BMW 3 Series 4dr Sdn 335d RWD,"$16,120","Mileage 82,200 km"
2010 Audi A6 4dr Sdn quattro 3.0L,"$16,000","Mileage 130,000 km"
2016 Chevrolet Malibu 4dr Sdn LT,"$16,000","Mileage 32,000 km"
2012 Audi S4 4dr Sdn S tronic Premium,"$16,000","Mileage 80,000 km"
2016 Volkswagen Jetta 4dr 1.4 TSI Man Comfortline,"$16,000","Mileage 28,400 km"
2008 Acura TL 4dr Sdn Man Type-S,"$16,000","Mileage 230,000 km"
2012 Audi A6 4dr Sdn quattro 3.0T Premium Plus,"$16,000","Mileage 157,000 km"
2018 Ford Focus SE Sedan,"$16,000","Mileage 12,000 km"
2017 Honda Civic Sedan 4dr CVT LX,"$16,000","Mileage 65,000 km"
2010 Audi S4 4dr Sdn S tronic Premium,"$16,000","Mileage 107,500 km"
2018 Hyundai Sonata 2.4L Sport,"$16,000","Mileage 88,500 km"
2010 Infiniti G37 4dr Sdn Sport RWD,"$16,000","Mileage 110,000 km"
2018 Nissan Sentra SV CVT,"$16,000","Mileage 21,500 km"
2012 Acura TL 4dr Sdn Auto SH-AWD w/Tech Pkg,"$16,000","Mileage 122,000 km"
2011 Saab 9-5 4dr Sdn Manual Turbo4 FWD,"$16,000","Mileage 200,670 km"
2016 Nissan Altima 4dr Sdn I4 CVT 2.5 SV,"$15,999","Mileage 91,000 km"
2015 Acura TLX 4dr Sdn FWD Tech,"$15,999","Mileage 91,500 km"
2015 Nissan Altima 4dr Sdn I4 CVT 2.5 SL,"$15,999","Mileage 41,100 km"
2013 Volkswagen Passat 4dr Sdn 3.6L DSG Comfortline,"$15,999","Mileage 110,000 km"
2011 Audi S4 4dr Sdn S tronic,"$15,995","Mileage 130,000 km"
2018 Toyota Corolla LE CVT,"$15,968","Mileage 58,000 km"
2017 Hyundai Elantra 4dr Sdn Auto Limited *Ltd Avail*,"$15,900","Mileage 72,000 km"
2016 Mazda Mazda3 4dr Sdn Auto GS,"$15,900","Mileage 38,000 km"
2013 Infiniti M37 4dr Sdn AWD Sport,"$15,900","Mileage 117,000 km"
2016 Toyota Corolla 4dr Sdn CVT S,"$15,800","Mileage 56,700 km"
2017 Toyota Corolla 4dr Sdn CVT LE ECO,"$15,800","Mileage 29,880 km"
2013 Lexus ES 350 4dr Sdn,"$15,800","Mileage 149,500 km"
2017 Honda Civic Sedan 4dr Man LX,"$15,695","Mileage 56,700 km"
2017 Honda Civic Sedan 4dr CVT LX,"$15,600","Mileage 45,000 km"
2015 Honda Civic Sedan 4dr Auto EX,"$15,600","Mileage 59,500 km"
2013 Audi A4 4dr Sdn Auto Premium Plus quattro,"$15,500","Mileage 68,000 km"
2018 Toyota Corolla LE CVT,"$15,500","Mileage 58,000 km"
2014 Honda Accord Sedan 4dr I4 CVT Touring,"$15,500","Mileage 112,000 km"
2016 Chevrolet Cruze 4dr Sdn Auto LS,"$15,500","Mileage 87,000 km"
2013 Hyundai Sonata 4dr Sdn 2.0T Auto Limited w/Navi,"$15,500","Mileage 100,500 km"
2011 BMW 5 Series 4dr Sdn 535i RWD,"$15,500","Mileage 109,200 km"
2016 Chrysler 200 4dr Sdn C FWD,"$15,500","Mileage 66,000 km"
2017 Toyota Corolla 4dr Sdn CVT LE,"$15,500","Mileage 101,000 km"
2012 Audi A6 4dr Sdn quattro 3.0T Premium Plus,"$15,500","Mileage 146,000 km"
2016 Honda Civic Sedan 4dr CVT LX,"$15,500","Mileage 56,500 km"
2016 Honda Civic Sedan 4dr CVT EX,"$15,500","Mileage 92,000 km"
2014 Mercedes-Benz C-Class 4dr Sdn C300 4MATIC,"$15,500","Mileage 99,458 km"
2018 Chevrolet Malibu 4dr Sdn LT w-1LT,"$15,500","Mileage 57,281 km"
2016 Honda Fit 5dr HB CVT EX,"$15,500","Mileage 37,200 km"
2015 Chevrolet Impala 4dr Sdn LT w/2LT,"$15,500","Mileage 65,404 km"
2014 Volkswagen Passat 4dr Sdn 1.8 TSI Auto Highline,"$15,499","Mileage 76,240 km"
2017 Honda Civic Sedan 4dr CVT LX,"$15,499","Mileage 34,000 km"
2016 Mazda Mazda3 4dr Sdn Auto GS,"$15,000","Mileage 38,500 km"
2013 Audi A4 4dr Sdn Auto Premium Plus quattro,"$15,000","Mileage 68,000 km"
2016 Toyota Corolla 4dr Sdn CVT S,"$15,000","Mileage 97,600 km"
2015 Honda Accord 2dr I4 CVT EX,"$15,000","Mileage 60,000 km"
2013 Hyundai Sonata 4dr Sdn 2.0T Auto Limited w/Navi,"$15,000","Mileage 100,550 km"
2017 Hyundai Elantra 4dr Sdn Auto GL,"$15,000","Mileage 71,000 km"
2016 Volkswagen Jetta 4dr 1.4 TSI Man Trendline+,"$15,000","Mileage 43,000 km"
2017 Honda Accord Hybrid 4dr Sdn,"$15,000","Mileage 193,000 km"
2015 Buick Verano 4dr Sdn Convenience 1,"$15,000","Mileage 30,000 km"
2015 Volkswagen Jetta Sedan 4dr 1.8 TSI Man Comfortline,"$15,000","Mileage 92,900 km"
2015 Mazda Mazda6 4dr Sdn 2.5L Man GS,"$15,000","Mileage 110,268 km"
2017 Hyundai Sonata 4dr Sdn 2.4L Auto GL,"$15,000","Mileage 46,879 km"
2016 Toyota Corolla 4dr Sdn CVT LE,"$15,000","Mileage 105,000 km"
2014 Mercedes-Benz C-Class 4dr Sdn C300 4MATIC,"$15,000","Mileage 125,000 km"
2017 Mazda Mazda3 4dr Sdn Auto GS,"$15,000","Mileage 74,500 km"
2014 Honda Accord Sedan 4dr I4 CVT Touring,"$15,000","Mileage 112,800 km"
2017 Honda Civic Sedan 4dr Man LX,"$15,000","Mileage 39,000 km"
2014 Honda Accord Sedan 4dr I4 CVT Touring,"$15,000","Mileage 112,800 km"
2017 Hyundai Elantra 4dr Sdn Auto GL,"$15,000","Mileage 60,000 km"
2014 Honda Civic Sedan 4dr Man Si,"$15,000","Mileage 88,500 km"
2016 Chevrolet Cruze 4dr Sdn Auto LT,"$15,000",Mileage 200 km
2016 Chevrolet Cruze 4dr Sdn Auto Premier,"$15,000","Mileage 56,000 km"
2016 Chevrolet Malibu 4dr Sdn LT,"$15,000","Mileage 17,000 km"
2017 Cadillac XTS 4dr Sdn FWD,"$15,000","Mileage 65,800 km"
2013 Cadillac ATS 4dr Sdn 3.6L Luxury AWD,"$14,999","Mileage 78,000 km"
2016 Toyota Corolla 4dr Sdn CVT S,"$14,995","Mileage 80,000 km"
2013 BMW 3 Series 4dr Sdn 335i xDrive AWD,"$18,000","Mileage 121,000 km"
2016 Chevrolet Malibu 4dr Sdn LT,"$15,000","Mileage 17,000 km"
2007 Audi A6 4dr Sdn 4.2L,"$11,000","Mileage 98,000 km"
2013 Toyota Corolla 4dr Sdn Auto S,"$9,500","Mileage 110,000 km"
2006 Audi A8 L 4dr Sdn 4.2L quattro LWB Auto,"$6,150","Mileage 255,125 km"
2004 Acura TL 4dr Sdn 3.2L Auto,"$4,500","Mileage 117,000 km"
2010 Mazda Mazda3 4dr Sdn Man GX,"$4,400","Mileage 148,000 km"
2006 Toyota Corolla 4dr Sdn CE Auto,"$4,000","Mileage 222,351 km"
2010 Subaru Legacy 4dr Sdn Man 2.5i GT Turbo,"$14,995","Mileage 118,000 km"
2016 Mazda Mazda6 4dr Sdn 2.5L Auto GS,"$14,991","Mileage 87,000 km"
2014 Honda Accord Hybrid 4dr Sdn,"$14,990","Mileage 63,000 km"
2018 Toyota Corolla LE CVT,"$14,990","Mileage 68,000 km"
2018 Mazda Mazda3 GS Auto,"$14,990","Mileage 11,800 km"
2011 BMW 3 Series 4dr Sdn 328i xDrive AWD Exec Ed South Africa,"$14,950","Mileage 100,000 km"
2012 Acura TL 4dr Sdn Auto SH-AWD w/Elite Pkg,"$14,900","Mileage 133,000 km"
2014 Lincoln MKZ 4dr Sdn FWD,"$14,900","Mileage 94,500 km"
2009 Lexus RX 350 4WD 4dr,"$14,900","Mileage 148,321 km"
2013 Lincoln MKZ 4dr Sdn V6 AWD,"$14,900","Mileage 116,000 km"
2014 Acura ILX 4dr Sdn Premium Pkg,"$14,875","Mileage 133,231 km"
2016 Honda Civic Sedan 4dr CVT LX w-Honda Sensing,"$14,800","Mileage 72,000 km"
2018 Hyundai Elantra GL SE Auto,"$14,800","Mileage 12,400 km"
2013 Volkswagen Jetta 4dr 2.0T TDI DSG Highline,"$14,800","Mileage 99,870 km"
2013 Mercedes-Benz C-Class 4dr Sdn C 300 4MATIC,"$14,800","Mileage 88,600 km"
2016 Subaru Impreza 4dr Sdn CVT 2.0i w/Limited Pkg,"$14,799","Mileage 30,000 km"
2016 Nissan Sentra 4dr Sdn CVT SV,"$14,786","Mileage 41,000 km"
2011 BMW 3 Series 4dr Sdn 335i xDrive AWD,"$14,750",Mileage 105 km
2017 Hyundai Sonata 4dr Sdn 2.4L Auto GLS,"$14,700","Mileage 64,000 km"
2015 Chevrolet Malibu 4dr Sdn LTZ w-2LZ,"$14,599","Mileage 84,800 km"
2014 BMW 3 Series 4dr Sdn 320i xDrive AWD,"$14,532","Mileage 159,237 km"
2015 Volkswagen Jetta 4dr 2.0 TDI Man Trendline+,"$14,500","Mileage 124,000 km"
2017 Nissan Altima 4dr Sdn I4 CVT 2.5,"$14,500","Mileage 78,000 km"
2015 Honda Civic 2dr CVT LX,"$14,500","Mileage 65,000 km"
2016 Toyota Corolla 4dr Sdn CVT S,"$14,500","Mileage 70,000 km"
2017 Honda Civic Sedan 4dr CVT LX,"$14,500","Mileage 44,000 km"
2015 Audi A3 4dr Sdn FrontTrak 1.8T Komfort,"$14,500","Mileage 81,843 km"
2014 BMW 3 Series 4dr Sdn 320i xDrive AWD,"$14,500","Mileage 101,580 km"
2017 Hyundai Elantra 4dr Sdn Auto GLS,"$14,500","Mileage 86,500 km"
2013 Dodge Charger 4dr Sdn SE RWD,"$14,500","Mileage 125,000 km"
2018 Honda Civic Sedan LX Manual,"$14,500","Mileage 42,400 km"
2016 Toyota Corolla 4dr Sdn Man S,"$14,490","Mileage 70,663 km"
2015 Chrysler 200 4dr Sdn C AWD,"$14,488","Mileage 45,000 km"
2017 Chevrolet Cruze 4dr Sdn 1.4L LT w/1SD,"$14,404","Mileage 64,500 km"
2014 Honda Civic Sedan 4dr CVT Touring,"$14,346","Mileage 43,049 km"
2014 Acura ILX 4dr Sdn Hybrid,"$14,299","Mileage 86,434 km"
2014 Acura ILX 4dr Sdn Hybrid,"$14,299","Mileage 86,434 km"
2012 BMW 3 Series 4dr Sdn 328i RWD,"$14,250","Mileage 168,000 km"
2013 Acura ILX 4dr Sdn,"$14,200","Mileage 68,000 km"
2016 Nissan Maxima 4dr Sdn Platinum,"$14,100","Mileage 78,000 km"
2016 Kia Optima 4dr Sdn LX ECO Turbo,"$14,080","Mileage 37,102 km"
2012 Acura TL 4dr Sdn Auto SH-AWD w/Elite Pkg,"$14,000","Mileage 108,000 km"
2016 Honda Civic Sedan 4dr CVT LX,"$14,000","Mileage 200,000 km"
2015 Hyundai Sonata 4dr Sdn 2.4L Auto Limited,"$14,000","Mileage 72,623 km"
2010 Mercedes-Benz E-Class 4dr Sdn E350 4MATIC,"$14,000","Mileage 155,000 km"
2014 Audi A4 4dr Sdn Auto Komfort quattro,"$14,000","Mileage 112,000 km"
2017 Chevrolet Cruze 4dr Sdn 1.4L LT w/1SC,"$14,000","Mileage 98,000 km"
2013 Audi A4 4dr Sdn Auto quattro,"$14,000","Mileage 130,000 km"
2015 Volkswagen Jetta 4dr 1.8 TSI Auto Highline,"$14,000","Mileage 115,450 km"
2010 Acura TL 4dr Sdn Auto 2WD,"$14,000","Mileage 171,973 km"
2016 Kia Soul 5dr Wgn Auto LX,"$14,000","Mileage 120,000 km"
2016 Ford Fusion 4dr Sdn SE FWD,"$14,000","Mileage 119,530 km"
2015 Toyota Camry 4dr Sdn I4 Auto XSE,"$14,000","Mileage 98,000 km"
2015 Honda Civic Sedan 4dr Auto EX,"$14,000","Mileage 58,000 km"
2015 Honda Accord Sedan 4dr I4 CVT Sport,"$14,000","Mileage 101,000 km"
2016 Volkswagen Jetta 4dr 1.8 TSI Auto Highline,"$14,000","Mileage 82,500 km"
2015 Volkswagen Jetta Sedan 4dr Hybrid TSI DSG *Ltd Avail*,"$14,000","Mileage 128,000 km"
2010 Audi S4 4dr Sdn S tronic Premium,"$14,000","Mileage 172,000 km"
2015 Hyundai Sonata Hybrid 4dr Sdn Limited w/Technology Pkg,"$14,000","Mileage 105,000 km"
2017 Cadillac XTS 4dr Sdn Luxury FWD,"$14,000","Mileage 174,000 km"
2012 Volvo S80 4dr Sdn T6 Premier Plus,"$14,000","Mileage 131,000 km"
2012 Lexus ES 350 4dr Sdn,"$14,000","Mileage 165,000 km"
2012 BMW 5 Series 4dr Sdn 550i xDrive AWD,"$14,000","Mileage 150,000 km"
2014 Honda Civic 2dr CVT LX,"$14,000","Mileage 59,500 km"
2014 Honda Accord Sedan 4dr I4 CVT LX,"$14,000","Mileage 99,000 km"
2014 BMW 3 Series 4dr Sdn 320i xDrive AWD,"$13,999","Mileage 142,500 km"
2010 Mercedes-Benz C-Class 4dr Sdn C350 4MATIC,"$13,999","Mileage 200,000 km"
2010 Cadillac CTS 4dr Sdn 3.0L RWD,"$13,999","Mileage 54,000 km"
2017 Hyundai Elantra 4dr Sdn Auto LE,"$13,999","Mileage 67,000 km"
2017 Mazda Mazda3 4dr Sdn Auto SE,"$13,999","Mileage 69,000 km"
2014 Toyota Corolla 4dr Sdn CVT LE,"$13,999","Mileage 56,000 km"
2013 Audi A4 4dr Sdn Man quattro,"$13,999","Mileage 90,000 km"
2015 Hyundai Sonata 4dr Sdn 2.4L Auto GLS,"$13,995","Mileage 88,000 km"
2010 Audi S4 4dr Sdn S tronic Premium,"$13,995","Mileage 167,341 km"
2017 Hyundai Elantra 4dr Sdn Auto Limited SE,"$13,990","Mileage 58,692 km"
2014 Honda Accord 2dr I4 CVT EX,"$13,961","Mileage 96,000 km"
2013 BMW 3 Series 4dr Sdn 328i xDrive AWD,"$13,950","Mileage 142,500 km"
2017 Toyota Corolla 4dr Sdn CVT LE,"$13,900","Mileage 101,000 km"
2015 Chrysler 200 4dr Sdn LX FWD,"$13,900","Mileage 39,000 km"
2012 Volkswagen Passat 4dr Sdn 2.5L Auto Highline,"$13,900","Mileage 89,000 km"
2011 BMW 3 Series 4dr Sdn 335d RWD,"$13,900","Mileage 81,500 km"
2012 Audi S4 4dr Sdn S tronic Premium,"$13,900","Mileage 176,000 km"
2008 Mercedes-Benz C-Class 4dr Sdn 3.0L 4MATIC,"$13,900","Mileage 35,000 km"
2018 Hyundai Elantra GT GLS Auto,"$13,900","Mileage 44,000 km"
2018 Nissan Sentra SV CVT,"$13,800","Mileage 80,000 km"
2013 Lexus ES 350 4dr Sdn,"$13,800","Mileage 145,000 km"
2015 Honda Civic Sedan 4dr Auto EX,"$13,800","Mileage 78,000 km"
2017 Ford Fusion 4dr Sdn SE FWD,"$13,750","Mileage 91,000 km"
2016 Hyundai Elantra 4dr Sdn Auto GLS,"$13,700","Mileage 80,000 km"
2017 Hyundai Elantra 4dr Sdn DCT Sport,"$13,700","Mileage 44,970 km"
2015 Toyota Camry 4dr Sdn I4 Auto LE,"$13,699","Mileage 71,413 km"
2016 Toyota Corolla 4dr Sdn CVT LE ECO,"$13,593","Mileage 102,000 km"
2015 Hyundai Sonata 4dr Sdn 2.4L Auto GLS,"$13,500","Mileage 93,000 km"
2014 Audi A4 4dr Sdn Auto Komfort quattro,"$13,500","Mileage 131,000 km"
2012 Infiniti G37 4dr Sdn Luxury AWD,"$13,500","Mileage 126,103 km"
2013 Acura TL 4dr Sdn Auto 2WD w/Tech Pkg,"$13,500","Mileage 155,000 km"
2016 Ford Fusion 4dr Sdn SE FWD,"$13,500","Mileage 119,530 km"
2014 Toyota Camry 4dr Sdn I4 Auto LE,"$13,500","Mileage 118,800 km"
2012 BMW 5 Series 4dr Sdn 528i xDrive AWD,"$13,500","Mileage 140,000 km"
2014 Honda Accord Sedan 4dr I4 CVT Sport,"$13,500","Mileage 144,000 km"
2018 Toyota Corolla LE CVT,"$14,990","Mileage 68,000 km"
2014 Volkswagen Passat 4dr Sdn 1.8 TSI Auto Highline,"$12,999","Mileage 99,800 km"
2017 Kia Rio 4dr Sdn Auto LX+,"$10,200","Mileage 71,300 km"
2013 Nissan Altima 4dr Sdn I4 CVT 2.5 SL,"$8,900","Mileage 134,096 km"
2012 Hyundai Sonata 4dr Sdn 2.4L Auto Limited w/Navi,"$7,499","Mileage 160,000 km"
2006 BMW 3 Series 4dr Sdn RWD 323i,"$5,300","Mileage 139,700 km"
2010 Mazda Mazda3 4dr Sdn Man GX,"$4,400","Mileage 148,000 km"
2009 Mazda Mazda3 4dr Sdn Man GT,"$3,000","Mileage 182,000 km"
2014 Honda Accord Sedan 4dr I4 CVT Touring,"$13,500","Mileage 125,000 km"
2014 Honda Accord Sedan 4dr I4 CVT EX-L,"$13,500","Mileage 170,000 km"
2016 Hyundai Elantra 4dr Sdn Auto Sport Appearance,"$13,500","Mileage 42,991 km"
2013 Audi A4 4dr Sdn Auto Premium Plus quattro,"$13,500","Mileage 156,000 km"
2007 Audi S4 4dr Sdn Manual,"$13,500","Mileage 133,000 km"
2017 Hyundai Elantra 4dr Sdn Auto LE,"$13,500","Mileage 34,166 km"
2014 MINI Cooper Countryman ALL4 4dr S,"$13,500","Mileage 133,000 km"
2016 Volkswagen Jetta 4dr 1.8 TSI Auto Highline,"$13,500","Mileage 104,000 km"
2015 Hyundai Sonata 4dr Sdn 2.4L Auto Sport Tech,"$13,499","Mileage 121,000 km"
2013 Hyundai Elantra 4dr Sdn Auto Limited,"$13,499","Mileage 136,500 km"
2014 Toyota Camry 4dr Sdn I4 Auto LE,"$13,400","Mileage 91,400 km"
2017 Ford Fusion 4dr Sdn SE FWD,"$13,300","Mileage 126,000 km"
2016 Hyundai Sonata 4dr Sdn 2.4L Auto Sport Tech,"$13,249","Mileage 110,000 km"
2012 Acura TSX 4dr Sdn I4 Auto,"$13,159",Mileage 205 km
2015 Chrysler 200 4dr Sdn C FWD,"$13,100","Mileage 88,109 km"
2016 Hyundai Sonata 4dr Sdn 2.4L Auto GL,"$13,000","Mileage 77,000 km"
2015 Toyota Corolla 4dr Sdn CVT LE,"$13,000","Mileage 86,000 km"
2016 Chevrolet Cruze 4dr Sdn Auto LT,"$13,000","Mileage 31,506 km"
2015 Nissan Sentra 4dr Sdn CVT SV,"$13,000","Mileage 72,000 km"
2012 Acura TL 4dr Sdn Man SH-AWD w-Tech Pkg,"$13,000","Mileage 185,000 km"
2015 Mitsubishi Lancer 4dr Sdn CVT SE FWD,"$13,000","Mileage 49,500 km"
2016 Toyota Corolla 4dr Sdn CVT LE,"$13,000","Mileage 107,500 km"
2013 Honda Civic 4dr Auto LX,"$13,000","Mileage 74,000 km"
2016 Nissan Sentra 4dr Sdn CVT SV,"$13,000","Mileage 78,000 km"
2014 Honda Accord Sedan 4dr I4 CVT Sport,"$13,000","Mileage 105,000 km"
2016 Chrysler 200 4dr Sdn Limited FWD,"$13,000","Mileage 94,568 km"
2015 Toyota Corolla 4dr Sdn Auto CE,"$13,000","Mileage 53,000 km"
2012 Toyota Camry 4dr Sdn I4 Auto XLE,"$13,000","Mileage 130,000 km"
2014 Honda Accord Sedan 4dr I4 Man Sport,"$13,000","Mileage 117,000 km"
2014 Acura TL 4dr Sdn Auto 2WD,"$13,000","Mileage 167,000 km"
2014 Chrysler 300 4dr Sdn 300C AWD,"$13,000","Mileage 260,000 km"
2016 Honda Civic Sedan 4dr CVT LX w-Honda Sensing,"$13,000","Mileage 143,000 km"
2017 Kia Forte 4dr Sdn Auto LX+,"$13,000","Mileage 37,800 km"
2016 Lincoln MKZ 4dr Sdn Hybrid FWD,"$13,000","Mileage 95,000 km"
2015 Honda Civic Sedan 4dr Auto LX,"$13,000","Mileage 82,000 km"
2015 Mazda Mazda3 4dr Sdn Auto GT,"$13,000","Mileage 77,622 km"
2011 Audi A6 4dr Sdn quattro 3.0L Progressiv,"$13,000","Mileage 165,000 km"
2014 Volkswagen Passat 4dr Sdn 2.0 TDI DSG Comfortline,"$12,999","Mileage 125,344 km"
2014 Volkswagen Passat 4dr Sdn 1.8 TSI Auto Highline,"$12,999","Mileage 99,800 km"
2016 Chevrolet Cruze 4dr Sdn Auto LT,"$12,999","Mileage 80,000 km"
2017 Ford Fusion 4dr Sdn SE FWD,"$12,999","Mileage 113,000 km"
2012 Hyundai Genesis Sedan 4dr Sdn V8 R-Spec,"$12,999","Mileage 119,000 km"
2016 Hyundai Sonata 4dr Sdn 2.4L Auto GLS Special Edition,"$12,999","Mileage 73,830 km"
2016 Hyundai Sonata 4dr Sdn 2.4L Auto GL,"$12,999","Mileage 68,000 km"
2014 Toyota Corolla 4dr Sdn CVT LE,"$12,995","Mileage 18,077 km"
2014 Toyota Corolla 4dr Sdn CVT S,"$12,988","Mileage 106,500 km"
2017 Hyundai Elantra 4dr Sdn Auto GL,"$12,900","Mileage 32,000 km"
2013 BMW 3 Series 4dr Sdn 320i xDrive AWD,"$12,900","Mileage 125,000 km"
2011 Honda Accord Sedan 4dr I4 Auto SE,"$12,900","Mileage 85,000 km"
2013 BMW 3 Series 4dr Sdn 320i xDrive AWD,"$12,900","Mileage 150,000 km"
2015 Toyota Camry Hybrid 4dr Sdn SE,"$12,890","Mileage 95,000 km"
2010 Audi A6 4dr Sdn quattro 3.0L Special Edition w-Nav,"$12,800","Mileage 123,870 km"
2015 Toyota Prius v 5dr HB,"$12,800","Mileage 122,000 km"
2016 Hyundai Elantra 4dr Sdn Auto GL,"$12,700","Mileage 69,000 km"
2010 Mercedes-Benz C-Class 4dr Sdn C250 4MATIC,"$12,500","Mileage 120,000 km"
2012 Audi A4 4dr Sdn Auto quattro 2.0T Premium,"$12,500","Mileage 165,000 km"
2013 Audi A4 4dr Sdn Auto quattro,"$12,500","Mileage 149,000 km"
2008 Acura TL 4dr Sdn Auto Type-S,"$12,500","Mileage 198,000 km"
2015 Chevrolet Cruze 4dr Sdn LTZ,"$12,500","Mileage 82,000 km"
2015 Volkswagen Passat 4dr Sdn 1.8 TSI Auto Comfortline,"$12,500","Mileage 148,880 km"
2016 Honda Civic Sedan 4dr CVT Touring,"$12,500","Mileage 53,000 km"
2014 Toyota Matrix 4dr Wgn Auto FWD,"$12,500","Mileage 65,000 km"
2015 Nissan Sentra 4dr Sdn CVT SV,"$12,500","Mileage 46,000 km"
2006 Acura TSX 4dr Sdn Auto,"$12,500","Mileage 107,000 km"
2012 Acura TSX 4dr Sdn I4 Auto w/Premium Pkg,"$12,500","Mileage 93,000 km"
2015 Chevrolet Malibu 4dr Sdn LT w/1LT,"$12,500","Mileage 42,239 km"
2012 Acura TL 4dr Sdn Auto SH-AWD w/Elite Pkg,"$12,500","Mileage 151,000 km"
2016 Chevrolet Cruze 4dr Sdn LT w-1LT,"$12,500","Mileage 35,000 km"
2015 Chevrolet Cruze 4dr Sdn 2LT,"$12,500","Mileage 100,000 km"
2015 Mazda Mazda6 4dr Sdn 2.5L Auto GS,"$12,500","Mileage 106,285 km"
2014 Volkswagen Passat 4dr Sdn 2.0 TDI Man Highline,"$12,400","Mileage 115,000 km"
2016 Chevrolet Cruze 4dr Sdn Auto LT,"$12,400","Mileage 57,201 km"
2013 Dodge Charger 4dr Sdn SXT Plus RWD,"$12,200","Mileage 148,000 km"
2014 Toyota Corolla 4dr Sdn Auto CE,"$12,100","Mileage 101,000 km"
