Cars,Price,Mileage
2013 Jaguar XJ 4dr Sdn XJL Portfolio AWD,"$29,500","Mileage 77,500 km"
2018 Buick Regal 4dr Sdn GS AWD,"$29,000","Mileage 24,600 km"
2013 Audi S4 4dr Sdn Auto Premium,"$29,000","Mileage 65,000 km"
2015 Mitsubishi LANCER EVOLUTION 4dr Sdn GSR,"$28,999","Mileage 56,000 km"
2017 Mercedes-Benz C-Class 4dr Sdn C 300 4MATIC,"$28,999","Mileage 23,133 km"
2017 Audi A4 4dr Sdn Auto Progressiv quattro,"$28,500","Mileage 21,000 km"
2015 Mercedes-Benz C-Class 4dr Sdn C 300 4MATIC,"$28,000","Mileage 100,942 km"
2019 Volkswagen Jetta Highline Auto,"$28,000","Mileage 51,000 km"
2017 Audi A4 4dr Sdn Auto Komfort quattro,"$28,000","Mileage 33,500 km"
2017 Honda Accord Sedan 4dr V6 Auto Touring,"$28,000","Mileage 66,000 km"
2018 Mercedes-Benz CLA-Class CLA 250 4MATIC Coupe,"$27,999","Mileage 30,499 km"
2018 Dodge Charger GT AWD,"$27,850","Mileage 31,600 km"
2017 Volvo S60 Cross Country 4dr Sdn T5 Platinum AWD,"$27,500","Mileage 57,500 km"
2017 Audi A3 4dr Sdn quattro 2.0T Progressiv,"$27,336","Mileage 55,000 km"
2017 Audi A4 4dr Sdn Auto Technik quattro,"$27,200","Mileage 55,668 km"
2015 Volkswagen CC 4dr Sdn Auto Execline,"$27,000","Mileage 136,823 km"
2012 Mercedes-Benz S-Class 4dr Sdn S350 BlueTEC 4MATIC,"$27,000","Mileage 147,000 km"
2018 Acura TLX SH-AWD Elite Sedan,"$27,000","Mileage 41,460 km"
2016 Subaru WRX 4dr Sdn Man w/Sport Pkg,"$27,000","Mileage 40,000 km"
2016 BMW 3 Series 4dr Sdn 320i xDrive AWD,"$26,999","Mileage 55,024 km"
2015 Mercedes-Benz E-Class 4dr Sdn E 250 BlueTEC 4MATIC,"$26,850","Mileage 81,000 km"
2013 Lexus GS 350 4dr Sdn AWD,"$26,700","Mileage 87,000 km"
2018 Dodge Charger GT AWD,"$26,627","Mileage 42,000 km"
2014 BMW 5 Series 4dr Sdn 528i xDrive AWD,"$26,500","Mileage 37,000 km"
2015 Hyundai Genesis Sedan 4dr Sdn Technology,"$26,500","Mileage 49,657 km"
2017 Audi A4 4dr Sdn Auto Komfort quattro,"$26,300","Mileage 18,350 km"
2017 Subaru WRX 4dr Sdn Sport Man,"$26,000","Mileage 27,000 km"
2018 Chrysler 300 300 Touring RWD,"$26,000","Mileage 40,000 km"
2015 BMW 4 Series 4dr Sdn 428i xDrive AWD Gran Coupe,"$26,000","Mileage 110,000 km"
2016 Dodge Charger 4dr Sdn SXT AWD,"$26,000","Mileage 78,000 km"
2019 Kia Optima LX+ Auto,"$26,000","Mileage 7,500 km"
2017 Alfa Romeo Giulia 4dr Sdn Ti AWD,"$26,000","Mileage 18,000 km"
2015 Audi A4 4dr Sdn Auto Technik plus quattro,"$25,999","Mileage 56,000 km"
2015 Jaguar XF 4dr Sdn V6 Sport AWD,"$25,999","Mileage 96,000 km"
2018 Toyota Camry SE Auto,"$25,995","Mileage 56,500 km"
2018 Mercedes-Benz E-Class E 400 4MATIC Sedan,"$52,000","Mileage 52,000 km"
2016 BMW 5 Series 4dr Sdn 550i xDrive AWD,"$40,888","Mileage 69,700 km"
2017 Kia Rio 4dr Sdn Auto LX+,"$10,200","Mileage 71,300 km"
2015 Chrysler 200 4dr Sdn C FWD,"$8,350","Mileage 117,000 km"
2012 Honda Civic 4dr Auto EX-L,"$6,900","Mileage 172,000 km"
2009 BMW 3 Series 4dr Sdn 323i RWD,"$5,800","Mileage 165,000 km"
2011 Honda Civic 4dr Man SE,"$5,000","Mileage 164,629 km"
2008 Chrysler 300 4dr Sdn 300 Limited RWD,"$3,950","Mileage 222,000 km"
2017 Chevrolet Volt Electric 5dr HB LT,"$25,900","Mileage 49,000 km"
2015 Mercedes-Benz CLA-Class 4dr Sdn CLA 250 4MATIC,"$25,900","Mileage 49,877 km"
2018 Dodge Charger R/T RWD,"$25,400","Mileage 49,886 km"
2018 Chevrolet Malibu 4dr Sdn LT w/1LT,"$25,100","Mileage 30,000 km"
2017 Toyota Camry 4dr Sdn I4 Auto XSE,"$25,000","Mileage 25,000 km"
2019 Toyota Corolla SE CVT,"$25,000","Mileage 36,000 km"
2014 Mercedes-Benz C-Class 4dr Sdn C300 4MATIC,"$25,000","Mileage 35,000 km"
2016 Hyundai Genesis Sedan 4dr Sdn Luxury,"$25,000","Mileage 100,000 km"
2015 Hyundai Genesis Sedan 4dr Sdn Technology,"$25,000","Mileage 51,000 km"
2019 Volkswagen Jetta Comfortline Auto,"$25,000","Mileage 25,000 km"
2019 Toyota Corolla SE CVT,"$24,999","Mileage 32,000 km"
2015 Subaru WRX 4dr Sdn CVT w/Sport-tech Pkg,"$24,999","Mileage 115,000 km"
2018 Honda Civic Sedan Touring CVT,"$24,987","Mileage 3,876 km"
2018 Toyota Camry XSE V6 Auto,"$24,800","Mileage 32,317 km"
2013 BMW 5 Series 4dr Sdn 550i xDrive AWD,"$24,700","Mileage 55,000 km"
2018 Toyota Camry SE Auto,"$24,500","Mileage 73,000 km"
2017 Infiniti Q50 4dr Sdn 2.0t,"$24,500","Mileage 62,300 km"
2018 Honda Civic Sedan Touring CVT,"$24,500","Mileage 16,000 km"
2016 Lexus IS 300 4dr Sdn AWD,"$24,200","Mileage 99,989 km"
2018 Mazda Mazda6 GS Auto,"$24,000","Mileage 37,000 km"
2016 Acura TLX 4dr Sdn FWD Tech,"$24,000","Mileage 65,000 km"
2013 BMW 5 Series 4dr Sdn 550i xDrive AWD,"$24,000","Mileage 97,000 km"
2017 Nissan Maxima 4dr Sdn SL,"$24,000","Mileage 42,000 km"
2013 BMW 3 Series 4dr Sdn 335i xDrive AWD,"$24,000","Mileage 105,000 km"
2015 Audi A4 4dr Sdn Auto Komfort quattro *Ltd Avail*,"$24,000","Mileage 41,000 km"
2017 Audi A4 4dr Sdn Auto Progressiv quattro,"$24,000","Mileage 82,000 km"
2018 Mercedes-Benz C-Class C 300 4MATIC Sedan,"$24,000","Mileage 29,000 km"
2016 BMW 3 Series 4dr Sdn 328i xDrive AWD,"$23,999","Mileage 71,999 km"
2015 Jaguar XF 4dr Sdn V6 Sport AWD,"$23,999","Mileage 96,000 km"
2015 Audi A6 4dr Sdn quattro 3.0T Technik,"$23,999","Mileage 103,456 km"
2015 Jaguar XF 4dr Sdn V6 Luxury AWD,"$23,900","Mileage 67,250 km"
2016 BMW 3 Series 4dr Sdn 328i xDrive AWD,"$23,900","Mileage 48,000 km"
2016 Dodge Charger 4dr Sdn SXT RWD,"$23,900","Mileage 56,500 km"
2019 Toyota Corolla SE CVT,"$23,500","Mileage 27,000 km"
2018 Toyota Camry SE Auto,"$23,495","Mileage 79,000 km"
2018 Toyota Camry SE Auto,"$23,495","Mileage 79,000 km"
2015 Audi A6 4dr Sdn quattro 2.0T Progressiv,"$23,319","Mileage 33,223 km"
2015 Hyundai Genesis Sedan 4dr Sdn Technology,"$23,000","Mileage 134,000 km"
2015 Mercedes-Benz C-Class 4dr Sdn C 300 4MATIC,"$23,000","Mileage 86,000 km"
2017 Chevrolet Malibu 4dr Sdn LT w/1LT,"$23,000","Mileage 92,000 km"
2017 Chevrolet Malibu 4dr Sdn LT w/1LT,"$23,000","Mileage 91,766 km"
2017 Volkswagen Passat 4dr Sdn 1.8 TSI Auto Comfortline,"$23,000","Mileage 37,000 km"
2017 Cadillac ATS 4dr Sdn 2.0L Luxury AWD,"$23,000","Mileage 74,000 km"
2016 Lexus IS 300 4dr Sdn AWD,"$23,000","Mileage 58,178 km"
2011 Audi A8 4dr Sdn Premium,"$23,000","Mileage 88,000 km"
2016 Mercedes-Benz CLA-Class 4dr Sdn CLA 250 4MATIC,"$23,000","Mileage 66,928 km"
2015 Subaru WRX 4dr Sdn Man w/Sport-tech Pkg,"$23,000","Mileage 93,000 km"
2017 Toyota Camry 4dr Sdn V6 Auto XSE,"$23,000","Mileage 55,250 km"
2018 Chevrolet Malibu 4dr Sdn LT w/1LT,"$22,899","Mileage 9,864 km"
2018 Ford Fusion Energi Platinum FWD,"$22,700","Mileage 35,000 km"
2015 Audi S8 4dr Sdn,"$22,600","Mileage 48,500 km"
2014 Audi A4 4dr Sdn Man Progressiv quattro,"$22,500","Mileage 112,000 km"
2013 Audi S4 4dr Sdn Auto Premium,"$22,500","Mileage 157,000 km"
2017 Toyota Camry 4dr Sdn V6 Auto XSE,"$22,500","Mileage 52,830 km"
2017 Toyota Camry 4dr Sdn I4 Auto XSE,"$22,500","Mileage 52,830 km"
2015 Infiniti Q70L 4dr Sdn V8,"$22,500","Mileage 35,400 km"
2018 Toyota Prius Auto,"$22,500","Mileage 37,000 km"
2017 Infiniti QX50 AWD 4dr,"$22,500","Mileage 60,406 km"
2013 BMW 3 Series 4dr Sdn 328i xDrive AWD,"$22,000","Mileage 96,000 km"
2016 Honda Accord Sedan 4dr I4 CVT LX,"$22,000","Mileage 61,000 km"
2016 Acura ILX 4dr Sdn Premium Pkg,"$22,000","Mileage 54,000 km"
2016 Volkswagen CC 4dr Sdn Highline,"$22,000",Mileage 67 km
2017 Hyundai Sonata 4dr Sdn 2.0T Auto Sport Ultimate,"$22,000","Mileage 40,000 km"
2016 Infiniti Q50 4dr Sdn 3.0t,"$22,000","Mileage 59,000 km"
2012 Infiniti G37 4dr Sdn Sport RWD,"$21,999","Mileage 91,600 km"
2016 Subaru WRX 4dr Sdn Man,"$21,950","Mileage 70,500 km"
